,id,party,name
433,36,Conservative,"Laing, Dame Eleanor"
434,4660,Labour,"Laird, Lesley"
435,4630,Plaid Cymru,"Lake, Ben"
436,1439,Liberal Democrat,"Lamb, Norman"
437,206,Labour,"Lammy, Mr David"
438,4608,Conservative,"Lamont, John"
439,4852,Conservative,"Largan, Robert"
440,4025,Conservative,"Latham, Mrs Pauline"
441,4139,Labour,"Lavery, Ian"
442,4403,Scottish National Party,"Law, Chris"
443,4923,Labour,"Leadbeater, Kim"
444,4117,Conservative,"Leadsom, Andrea"
445,4664,Labour,"Lee, Karen"
446,3921,Liberal Democrat,"Lee, Dr Phillip"
447,4109,Conservative,"Lefroy, Jeremy"
448,345,Conservative,"Leigh, Sir Edward"
449,422,The Independent Group for Change,"Leslie, Mr Chris"
450,247,Independent,"Letwin, Sir Oliver"
451,4749,Conservative,"Levy, Ian"
452,4277,Labour,"Lewell-Buck, Mrs Emma"
453,4659,Conservative,"Lewer, Andrew"
454,4009,Conservative,"Lewis, Sir Brandon"
455,4500,Labour,"Lewis, Clive"
456,441,Independent,"Lewis, Mr Ivan"
457,54,Conservative,"Lewis, Sir Julian"
458,1396,Conservative,"Liddell-Grainger, Mr Ian"
459,15,Conservative,"Lidington, Sir David"
460,4943,Labour (Co-op),"Lightwood, Simon"
461,4640,Scottish National Party,"Linden, David"
462,4611,Democratic Unionist Party,"Little Pengelly, Emma"
463,3968,Liberal Democrat,"Lloyd, Stephen"
464,450,Labour,"Lloyd, Tony"
465,4857,Democratic Unionist Party,"Lockhart, Carla"
466,4751,Conservative,"Loder, Chris"
467,4815,Independent,"Logan, Mark"
468,4396,Independent,"Long Bailey, Rebecca"
469,4789,Conservative,"Longhi, Marco"
470,4647,Conservative,"Lopez, Julia"
471,3989,Conservative,"Lopresti, Jack"
472,4090,Conservative,"Lord, Mr Jonathan"
473,114,Conservative,"Loughton, Tim"
474,3930,Green Party,"Lucas, Caroline"
475,1470,Labour,"Lucas, Ian C."
476,4472,Labour,"Lynch, Holly"
477,4772,Alba Party,"MacAskill, Kenny"
478,4529,Conservative,"Mackinlay, Craig"
479,4758,Conservative,"Mackrory, Cherilyn"
480,4668,Conservative,"Maclean, Rachel"
481,1546,Independent,"MacNeil, Angus Brendan"
482,4418,Labour,"Madders, Justin"
483,1392,Labour,"Mahmood, Mr Khalid"
484,3914,Labour,"Mahmood, Shabana"
485,1568,Conservative,"Main, Mrs Anne"
486,4484,Conservative,"Mak, Alan"
487,4253,Labour (Co-op),"Malhotra, Seema"
488,4495,Conservative,"Malthouse, Kit"
489,4762,Conservative,"Mangnall, Anthony"
490,4496,Conservative,"Mann, Scott"
491,465,Labour,"Marsden, Gordon"
492,4768,Conservative,"Marson, Julie"
493,4678,Labour,"Martin, Sandy"
494,4471,Labour (Co-op),"Maskell, Rachael"
495,4245,Sinn Féin,"Maskey, Paul"
496,4625,Conservative,"Masterton, Paul"
497,4993,Labour,"Mather, Keir"
498,4408,Independent,"Matheson, Christian"
499,8,Conservative,"May, Mrs Theresa"
500,4739,Conservative,"Mayhew, Jerome"
501,3926,Conservative,"Maynard, Paul"
502,298,Labour,"McCabe, Steve"
503,4624,Sinn Féin,"McCallion, Elisha"
504,1491,Labour,"McCarthy, Kerry"
505,3953,Conservative,"McCartney, Jason"
506,4028,Conservative,"McCartney, Karl"
507,193,Labour,"McDonagh, Dame Siobhain"
508,4269,Labour,"McDonald, Andy"
509,4461,Scottish National Party,"McDonald, Stewart Malcolm"
510,4393,Scottish National Party,"McDonald, Stuart C"
511,178,Independent,"McDonnell, John"
512,1587,Labour,"McFadden, Pat"
513,4458,Independent,"McGinn, Conor"
514,4083,Labour,"McGovern, Alison"
515,4342,Labour,"McInnes, Liz"
516,4125,Labour,"McKinnell, Catherine"
517,4437,Scottish National Party,"McLaughlin, Anne"
518,4569,Labour (Co-op),"McMahon, Jim"
519,4632,Labour,"McMorrin, Anna"
520,4424,Scottish National Party,"McNally, John"
521,4093,Conservative,"McPartland, Stephen"
522,4084,Conservative,"McVey, Esther"
523,4000,Labour,"Mearns, Ian"
524,3998,Independent,"Menzies, Mark"
525,4485,Conservative,"Mercer, Johnny"
526,4442,Conservative,"Merriman, Huw"
527,4092,Conservative,"Metcalfe, Stephen"
528,1510,Labour,"Miliband, Ed"
529,4746,Conservative,"Millar, Robin"
530,1480,Conservative,"Miller, Dame Maria"
531,4454,Conservative,"Milling, Dame Amanda"
532,4136,Conservative,"Mills, Nigel"
533,1523,Independent,"Milton, Anne"
534,4811,Labour,"Mishra, Navendu"
535,1211,Conservative,"Mitchell, Mr Andrew"
536,4804,Conservative,"Mohindra, Mr Gagan"
537,4274,Sinn Féin,"Molloy, Francie"
538,4443,Scottish National Party,"Monaghan, Carol"
539,1490,Labour,"Moon, Mrs Madeleine"
540,4669,Conservative,"Moore, Damien"
541,4861,Conservative,"Moore, Robbie"
542,4656,Liberal Democrat,"Moran, Layla"
543,4017,Conservative,"Mordaunt, Penny"
544,1548,Labour,"Morden, Jessica"
545,4934,Liberal Democrat,"Morgan, Helen"
546,4653,Labour,"Morgan, Stephen"
547,4249,Conservative,"Morris, Anne Marie"
548,4135,Conservative,"Morris, David"
549,3973,Labour,"Morris, Grahame"
550,3992,Conservative,"Morris, James"
551,4759,Conservative,"Morrissey, Joy"
552,4916,Conservative,"Mortimer, Jill"
553,4358,Conservative,"Morton, Wendy"
554,4860,Conservative,"Mullan, Dr Kieran"
555,4867,Conservative,"Mumby-Croft, Holly"
556,1512,Conservative,"Mundell, David"
557,3966,Labour,"Murray, Ian"
558,4797,Labour (Co-op),"Murray, James"
559,4100,Conservative,"Murray, Mrs Sheryll"
560,1466,Conservative,"Murrison, Dr Andrew"
561,4082,Labour,"Nandy, Lisa"
562,1601,Conservative,"Neill, Sir Robert"
563,4420,Scottish National Party,"Newlands, Gavin"
564,4071,Conservative,"Newton, Sarah"
565,4799,Labour,"Nichols, Charlotte"
566,4851,Conservative,"Nici, Lia"
567,4415,Scottish National Party,"Nicolson, John"
568,4048,Conservative,"Nokes, Caroline"
569,3991,Conservative,"Norman, Jesse"
570,4641,Labour (Co-op),"Norris, Alex"
571,4679,Conservative,"O'Brien, Neil"
572,4006,Conservative,"Offord, Dr Matthew"
573,4371,Scottish National Party,"O'Hara, Brendan"
574,4591,Liberal Democrat,"Olney, Sarah"
575,4661,Independent,"O'Mara, Jared"
576,4464,Labour,"Onn, Melanie"
577,4124,Labour,"Onwurah, Chi"
578,4142,Conservative,"Opperman, Guy"
579,4820,Labour,"Oppong-Asare, Ms Abena"
580,4515,Labour (Co-op),"Osamor, Kate"
581,4783,Labour,"Osborne, Kate"
582,4413,Scottish National Party,"Oswald, Kirsten"
583,4779,Labour,"Owatemi, Taiwo"
584,1474,Labour,"Owen, Albert"
585,4777,Labour,"Owen, Sarah"
586,4129,Democratic Unionist Party,"Paisley, Ian"
587,4072,Conservative,"Parish, Neil"
588,4066,Conservative,"Patel, Priti"
589,274,Conservative,"Paterson, Mr Owen"
590,4052,Conservative,"Pawsey, Mark"
591,4607,Labour,"Peacock, Stephanie"
592,4003,Labour,"Pearce, Teresa"
593,1528,Conservative,"Penning, Sir Mike"
594,4520,Labour,"Pennycook, Matthew"
595,1584,Conservative,"Penrose, John"
596,3939,Conservative,"Percy, Andrew"
597,3952,Labour,"Perkins, Mr Toby"
598,3974,Conservative,"Perry, Claire"
599,4370,Labour,"Phillips, Jess"
600,4046,Labour,"Phillipson, Bridget"
601,4503,Conservative,"Philp, Chris"
602,4665,Labour,"Pidcock, Laura"
603,4075,Independent,"Pincher, Christopher"
604,4673,Labour (Co-op),"Platt, Jo"
605,4682,Labour (Co-op),"Pollard, Luke"
606,3932,Labour,"Poulter, Dr Dan"
607,161,Labour,"Pound, Stephen"
608,4522,Conservative,"Pow, Rebecca"
609,4263,Labour (Co-op),"Powell, Lucy"
610,4401,Conservative,"Prentis, Victoria"
611,1424,Conservative,"Prisk, Mr Mark"
612,1576,Conservative,"Pritchard, Mark"
613,4369,Conservative,"Pursglove, Tom"
614,4917,Scottish National Party,"Qaisar, Ms Anum"
615,4507,Conservative,"Quin, Sir Jeremy"
616,4423,Conservative,"Quince, Will"
617,3924,Labour,"Qureshi, Yasmin"
618,4007,Conservative,"Raab, Dominic"
619,4845,Conservative,"Randall, Tom"
620,4670,Labour,"Rashid, Faisal"
621,4356,Labour,"Rayner, Angela"
622,14,Conservative,"Redwood, Sir John"
623,4268,Labour (Co-op),"Reed, Steve"
624,4525,Labour (Co-op),"Rees, Christina"
625,4099,Conservative,"Rees-Mogg, Sir Jacob"
626,4620,Labour,"Reeves, Ellie"
